,establishment,type,month,value
0,Agra Cantt,Addition,March,1456.0
1,Agra Cantt,Addition,April,229.0
2,Agra Cantt,Addition,May,32.0
3,Agra Cantt,Deletion,March,51.0
4,Agra Cantt,Deletion,April,213.0
5,Agra Cantt,Deletion,May,31.0
6,Agra Cantt,Modification,March,734.0
7,Agra Cantt,Modification,April,152.0
8,Agra Cantt,Modification,May,23.0
9,Agra North,Addition,March,53.0
10,Agra North,Addition,April,1421.0
11,Agra North,Addition,May,47.0
12,Agra North,Deletion,March,93.0
13,Agra North,Deletion,April,242.0
14,Agra North,Deletion,May,28.0
15,Agra North,Modification,March,845.0
16,Agra North,Modification,April,351.0
17,Agra North,Modification,May,57.0
18,Agra Rural,Addition,March,306.0
19,Agra Rural,Addition,April,803.0
20,Agra Rural,Addition,May,374.0
21,Agra Rural,Deletion,March,203.0
22,Agra Rural,Deletion,April,194.0
23,Agra Rural,Deletion,May,18.0
24,Agra Rural,Modification,March,162.0
25,Agra Rural,Modification,April,270.0
26,Agra Rural,Modification,May,144.0
27,Agra South,Addition,March,347.0
28,Agra South,Addition,April,740.0
29,Agra South,Addition,May,29.0
30,Agra South,Deletion,March,19.0
31,Agra South,Deletion,April,158.0
32,Agra South,Deletion,May,18.0
33,Agra South,Modification,March,129.0
34,Agra South,Modification,April,152.0
35,Agra South,Modification,May,12.0
36,Ajagara,Addition,March,236.0
37,Ajagara,Addition,April,179.0
38,Ajagara,Addition,May,268.0
39,Ajagara,Deletion,March,12.0
40,Ajagara,Deletion,April,41.0
41,Ajagara,Deletion,May,9.0
42,Ajagara,Modification,March,175.0
43,Ajagara,Modification,April,152.0
44,Ajagara,Modification,May,201.0
45,Akbarpur,Addition,March,230.0
46,Akbarpur,Addition,April,180.0
47,Akbarpur,Addition,May,131.0
48,Akbarpur,Deletion,March,82.0
49,Akbarpur,Deletion,April,96.0
50,Akbarpur,Deletion,May,63.0
51,Akbarpur,Modification,March,171.0
52,Akbarpur,Modification,April,234.0
53,Akbarpur,Modification,May,155.0
54,Akbarpur - Raniya,Addition,March,95.0
55,Akbarpur - Raniya,Addition,April,60.0
56,Akbarpur - Raniya,Addition,May,80.0
57,Akbarpur - Raniya,Deletion,March,6.0
58,Akbarpur - Raniya,Deletion,April,11.0
59,Akbarpur - Raniya,Deletion,May,18.0
60,Akbarpur - Raniya,Modification,March,59.0
61,Akbarpur - Raniya,Modification,April,50.0
62,Akbarpur - Raniya,Modification,May,59.0
63,Alapur,Addition,March,257.0
64,Alapur,Addition,April,243.0
65,Alapur,Addition,May,251.0
66,Alapur,Deletion,March,34.0
67,Alapur,Deletion,April,47.0
68,Alapur,Deletion,May,11.0
69,Alapur,Modification,March,222.0
70,Alapur,Modification,April,230.0
71,Alapur,Modification,May,190.0
72,Aliganj,Addition,March,52.0
73,Aliganj,Addition,April,63.0
74,Aliganj,Addition,May,64.0
75,Aliganj,Deletion,March,47.0
76,Aliganj,Deletion,April,58.0
77,Aliganj,Deletion,May,5.0
78,Aliganj,Modification,March,59.0
79,Aliganj,Modification,April,54.0
80,Aliganj,Modification,May,58.0
81,Aligarh,Addition,March,274.0
82,Aligarh,Addition,April,108.0
83,Aligarh,Addition,May,111.0
84,Aligarh,Deletion,March,45.0
85,Aligarh,Deletion,April,96.0
86,Aligarh,Deletion,May,25.0
87,Aligarh,Modification,March,341.0
88,Aligarh,Modification,April,126.0
89,Aligarh,Modification,May,107.0
90,Allahabad North,Addition,March,107.0
91,Allahabad North,Addition,April,111.0
92,Allahabad North,Addition,May,124.0
93,Allahabad North,Deletion,March,32.0
94,Allahabad North,Deletion,April,131.0
95,Allahabad North,Deletion,May,9.0
96,Allahabad North,Modification,March,63.0
97,Allahabad North,Modification,April,87.0
98,Allahabad North,Modification,May,100.0
99,Allahabad South,Addition,March,171.0
100,Allahabad South,Addition,April,223.0
101,Allahabad South,Addition,May,294.0
102,Allahabad South,Deletion,March,15.0
103,Allahabad South,Deletion,April,76.0
104,Allahabad South,Deletion,May,23.0
105,Allahabad South,Modification,March,48.0
106,Allahabad South,Modification,April,42.0
107,Allahabad South,Modification,May,65.0
108,Allahabad West,Addition,March,249.0
109,Allahabad West,Addition,April,256.0
110,Allahabad West,Addition,May,310.0
111,Allahabad West,Deletion,March,19.0
112,Allahabad West,Deletion,April,120.0
113,Allahabad West,Deletion,May,36.0
114,Allahabad West,Modification,March,76.0
115,Allahabad West,Modification,April,137.0
116,Allahabad West,Modification,May,109.0
117,Amanpur,Addition,March,236.0
118,Amanpur,Addition,April,127.0
119,Amanpur,Addition,May,218.0
120,Amanpur,Deletion,March,22.0
121,Amanpur,Deletion,April,23.0
122,Amanpur,Deletion,May,58.0
123,Amanpur,Modification,March,147.0
124,Amanpur,Modification,April,92.0
125,Amanpur,Modification,May,96.0
126,Amethi,Addition,March,312.0
127,Amethi,Addition,April,305.0
128,Amethi,Addition,May,338.0
129,Amethi,Deletion,March,25.0
130,Amethi,Deletion,April,35.0
131,Amethi,Deletion,May,36.0
132,Amethi,Modification,March,199.0
133,Amethi,Modification,April,155.0
